Chanel_1,Chanel_2,Chanel_3,Chanel_4,Category
0.20702000989502176,0.12924989238212675,0.060583360695844884,0.11348555096721065,0
0.17983862103210352,0.10762328189045356,0.060101603161126844,0.10698502358392945,0
0.16376905147206983,0.13166283383837307,0.05553736360371105,0.12612051197526217,0
0.1556867095609491,0.10678255439952479,0.06313830060454131,0.08627787406473944,0
0.1724395207010018,0.11049849553559013,0.059802623338767055,0.11766008125173243,0
0.17391332017813074,0.09559989952775742,0.06768929960764036,0.11584828785907454,0
0.1471351352876841,0.09841396059307672,0.06137360416361337,0.10692017559225368,0
0.18984345476223874,0.10978191434183886,0.059829160370725554,0.1162461599897422,0
0.135123219643106,0.10551932151194524,0.05992267095976888,0.09676443911264743,0
0.16204194205088998,0.11404532034238303,0.06782332312931073,0.11756637958003811,0
0.173808689797326,0.09413044707577684,0.04703783008014433,0.10399722764815696,0
0.18088111750017374,0.10922847213740072,0.05786057532320473,0.08402476821404678,0
0.18415602296111563,0.1063060294328881,0.056167581054337036,0.11011707028318933,0
0.16586044334722277,0.09901610487723353,0.051133122283238394,0.09876172041537469,0
0.15851429505382755,0.10275643337985665,0.04955410604854392,0.10295306337645821,0
0.1408745674208048,0.09207367359783222,0.06383463990002906,0.11326581600137903,0
0.16342652451690193,0.09620855090236775,0.05231309183292848,0.11211817452414452,0
0.18150103445036952,0.07566036865878428,0.05133174521805458,0.09572811243725306,0
0.18279179212932617,0.08545663012242806,0.05584039798544443,0.08935340715949232,0
0.16347689181145883,0.08550293905126974,0.052068889935725254,0.10961080928949479,0
0.16467930784544013,0.0898120938036672,0.0528626834824676,0.10410993863315704,0
0.17449117246690837,0.11062137355802751,0.054569275827259116,0.10524628553439719,0
0.18356793326498913,0.08009570691604684,0.05563277959380249,0.08666122430197605,0
0.19172069508650955,0.09159450194694607,0.05624465016979719,0.092017333788446,0
0.1995006565323418,0.10992202984051569,0.05697848840622281,0.1064012009444025,0
0.17170005383777168,0.08410648755637488,0.05610719188141324,0.13119855064576072,0
0.16824155935719703,0.09161678655124864,0.05323395379150748,0.10165001422868968,0
0.16762330428799066,0.08113019206166446,0.05818755640401826,0.11412512422192242,0
0.16064544824660967,0.08616513206496672,0.05703122987763741,0.09782620407709484,0
0.15750855949005693,0.09705057266357825,0.052461601388249575,0.11103860506540422,0
0.1658560998480992,0.09262454723470616,0.05285958786732588,0.11361279372454919,0
0.17434094889732232,0.10227282309654578,0.05008146016099452,0.12002450823814641,0
0.14761876002424426,0.09058980873550511,0.051543195405319424,0.10453426145624176,0
