time,chanel1,chanel2,chanel3,chanel4,position
0.0,0.0120602159517681,0.0071718916092288,-0.0049123048391528,-0.010351529249359,0
0.001,0.009734345422447,0.0020812731510979,-0.0051522151021362,-0.0150850201403643,0
0.002,0.0095814414932187,0.0013230773992885,3.150569623372912e-05,-0.014105499729092,0
0.003,0.0083548967553117,0.0064956543615156,0.0009867324424516,-0.011838385667562,0
0.004,0.0054730078848432,0.0021688593654328,0.0042197501603341,-0.0090289834953065,0
0.005,-0.0103029423619602,-0.0003623194239806,0.0057413364091954,-0.0075749658667787,0
0.006,-0.014066765384417,-0.0033676273179382,0.0091057662290309,-0.0095665071103068,0
0.007,-0.0011151171179949,-0.0054908439282557,0.0035063638107499,-0.006468812757262,0
0.008,0.0036485115217703,-0.0113425356244246,0.0041466839419116,-0.0009677279046176,0
0.009000000000000001,0.0034745114649377,-0.0083722556890614,0.0045147592730304,-0.0020937546470165,0
0.01,-0.0004939913898726,-0.0100466228145299,-0.0005283759821001,0.0011788492503285,0
0.011,0.0017928777005127,-0.008798145701514,0.0006013484017371,0.0051032323389793,0
0.012,0.0021319963791237,-0.0097190222889549,-0.003436371043195,-0.002932384836997,0
0.013000000000000001,-0.0030395423175326,-0.011275710584081,-0.007068835013502,0.0069651695815588,0
0.014,-0.0146023903117076,-0.0214532462653271,-0.0028874379771076,0.005906108876287,0
0.015,-0.0240487644625441,-0.0261056362494353,-0.0020421923665005,0.0041617930914542,0
0.016,-0.0189011819907659,-0.0235917595053513,-0.0028430494476714,0.0110897643387946,0
0.017,-0.0100259141602275,-0.0194685307316651,-0.0076800238755826,0.0082607814132613,0
0.018000000000000002,-0.0018851549888851,-0.0098801694995126,-0.0035891823898057,0.002358734719687,0
0.019,-0.0100861317409546,-0.0025453427726632,-0.0020454794106407,-0.0060756080086121,0
0.02,-0.0083266369657586,0.0128433065431796,0.0002731710141148,-0.0017531069694398,0
0.021,-8.578400091975336e-05,0.0212889115189443,0.0031515209969223,-0.0186176779143819,0
0.022,0.0068454624410918,0.0381724648647689,0.0018334398571514,-0.0207380610478157,0
0.023,0.0068784255713653,0.0365108597569478,-0.0041124717365073,-0.0169272236381513,0
0.024,0.0005149446620788,0.0154404311002311,-0.0031227291099935,-0.0046166257051199,0
0.025,0.0005247860146232,0.0073537238203482,0.0018307009140352,0.0063320763513001,0
0.026000000000000002,0.006409949371224,0.0037073821997219,-0.0034249325621825,0.0101587032772313,0
0.027,0.0128839607550475,0.0039347655085542,-0.0069868553462595,0.0052136139750794,0
0.028,0.0198579056773892,0.00192662813024,-0.0021478440832605,0.008216026079616,0
0.029,0.007429339810335,-0.0005650441664041,-0.0057770514362757,0.0100865892910012,0
0.03,-0.0011594618611405,0.0038257977305622,-0.0008335461879881,0.0066687257300425,0
0.031,0.0097990612452418,-0.0002803076298004,-0.0044469165832783,0.0099954059437688,0
0.032,0.0084623199769586,0.0007348578076828,4.619247049839744e-06,0.0215709733100581,0
0.033,0.012414663054635,0.0024756865983529,0.0014654150074011,0.01929008746412,0
0.034,0.0129449762803904,-0.0009035858651584,0.0033663155482093,0.0136373215623766,0
0.035,-0.0094225640081964,-0.0073575050170664,-0.0080869371201019,0.0093105547943391,0
0.036000000000000004,-0.0090541075943574,-0.0090556975013518,-0.0109805100924495,-0.0003854941443716,0
0.037,-0.0053092970812013,-0.0015141173329371,-0.0076752368860225,-0.0022096766436014,0
0.038,-0.0065541510601632,-2.056189259755576e-05,-0.0037993930319892,-0.0082551886563518,0
0.039,-0.0076829671790188,-0.0012732907320012,-0.0019781512996515,-0.0044599593840071,0
0.04,-0.0099616569325256,-0.0061356267865185,-0.0020819826388796,-4.422804557487059e-09,0
0.041,-0.0047091533104073,-0.008905213839181,0.0004233872430767,0.0033053243913384,0
0.042,-0.0022100497301153,-0.0097261859683101,0.0062672340123177,0.0107796760972872,0
0.043000000000000003,0.0048217623741445,-0.0078289572271874,0.0044952425330994,0.0212302091007702,0
0.044,0.0105123279916179,-0.0094373133144419,-0.0015496278632077,0.0097436573064179,0
0.045,0.0059962382097081,-0.0079438183036772,-0.0012306285735509,1.688435483953167e-06,0
0.046,0.0110823441246386,-0.0055401200469446,-0.0022189093361157,-0.0012591734795975,0
0.047,0.0087730150744452,-0.0065208905984826,0.0007021502666445,-0.000412796396225,0
0.048,0.0095774639976747,-0.015436829251408,-0.0007725748908117,-5.197637111637181e-06,0
0.049,0.0140097209761703,-0.0074899855386873,0.0003905718662421,0.0021922809897351,0
0.05,0.01402751872247,-0.00154077508586,0.0048617520848455,3.642340946165767e-06,0
0.051000000000000004,-0.0099503344216147,0.0032279309078739,0.0078805017716366,-0.0012602122975605,0
0.052000000000000005,-0.0587673744783863,0.0036383896379269,0.0095713378187738,0.0011765737116408,0
0.053,-0.0494332691353897,0.0006039326883386,0.0098576543377344,-0.0003127536308489,0
0.054,-0.0261130941965492,0.0019264707911388,0.003553119166481,-0.0027983734560561,0
0.055,-0.0219831847017472,0.0107125863827725,0.0059605976498065,-0.0043664191921296,0
0.056,-0.0213590681128483,0.0099431785904944,0.0008618066054396,-0.0080413117892474,0
0.057,-0.009968105611532,0.0078694214466535,0.0069850166129536,-0.0021689459315517,0
0.058,0.0015985587551071,0.0081801427974764,0.0039810779208489,0.0008584801160507,0
0.059000000000000004,-0.000877561265717,0.0084028635147402,0.0049282190011483,0.0006965244472436,0
0.06,-0.0019472427857544,0.004357850374813,0.003283476734761,0.0005663167072663,0
0.061,0.0010044585132667,0.0038631828522861,-0.0013914779205164,-0.0050038185440211,0
0.062,0.0003465811754298,0.0024445487343826,0.0026988821620579,-0.0079398261764323,0
0.063,0.0031770939043351,0.000622973402666,-0.00276016374517,-0.0131838674142035,0
0.064,0.0040151110362617,0.0045629157885433,-0.0018825717458249,-0.0128704894844138,0
